"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"KABOSU USD","0.00000551","-0.00000046","-7.78%","0","4,205","0","2024-10-13 13:19:50"
"TRUMP'S FIRST DOG USD","0.000099","-0.000001","-0.82%","0","9","0","2024-10-13 13:19:50"
"Pepa Inu USD","0.00000000","-0.00000000","-11.39%","0","268","0","2024-10-13 13:19:50"
"Vitteey USD","0.00000009","-0.00000000","-0.01%","0","408","0","2024-10-13 13:19:50"
"FIT Token USD","0.000843","+0.000007","+0.78%","0","0","0","2024-10-13 13:19:50"
"Reflecto USD","0.00000000","-0.00000000","-0.03%","0","12","0","2024-10-13 13:19:50"
"Mech Master USD","0.000856","-0.000010","-1.18%","0","26","0","2024-10-13 13:19:50"
"BookieBot USD","0.306010","0.000000","0.00%","0","19","0","2024-10-13 13:19:50"
"BRCP TOKEN USD","0.216912","-0.000029","-0.01%","0","38","0","2024-10-13 13:19:50"
"Book of Meme 2.0 USD","0.00000000","-0.00000000","-40.45%","0","472","0","2024-10-13 13:19:50"
"NUTZ USD","0.00000353","+0.00000024","+7.34%","0","574","0","2024-10-13 13:19:50"
"UNIFEES USD","0.000032","-0.000001","-3.42%","0","2","0","2024-10-13 13:19:50"
"Wall Street Bets Solana USD","0.00000534","-0.00000038","-6.58%","0","4,462","0","2024-10-13 13:19:50"
"Trillioner USD","118.87","-0.12","-0.10%","0","722","0","2024-10-13 13:19:50"
"GlobalBoost USD","0.008992","-0.000269","-2.90%","0","27","0","2024-10-13 13:19:50"
"Kaga No Fuuka Go Sapporo Kagasou USD","0.000674","+0.000151","+28.98%","0","20,244","0","2024-10-13 13:19:50"
"TRONPAD USD","0.001648","-0.000003","-0.20%","0","4","0","2024-10-13 13:19:50"
"Xank USD","0.000441","-0.000000","-0.01%","0","32","0","2024-10-13 13:19:50"
"Monku USD","0.000035","+0.000001","+2.34%","0","182","0","2024-10-13 13:19:50"
"SUPER DRAGON USD","0.00000000","-0.00000000","-0.71%","0","9","0","2024-10-13 13:19:50"
"La Peseta USD","0.001370","-0.000000","-0.00%","0","0","0","2024-10-13 13:19:50"
"Vitreus USD","0.030260","+0.000020","+0.07%","0","147,139","0","2024-10-13 13:19:50"
"Convex CRV USD","0.246160","-0.002897","-1.16%","0","41,738","0","2024-10-13 13:19:50"
"XRP20 USD","0.000015","-0.000000","-0.42%","0","356","0","2024-10-13 13:19:50"
"MicroPets USD","0.000056","-0.000000","-0.48%","0","90","0","2024-10-13 13:19:51"
"ESTEE USD","0.00000424","-0.00000099","-18.89%","0","186,996","0","2024-10-13 13:19:51"
"Orcfax USD","0.008902","+0.000059","+0.66%","0","546","0","2024-10-13 13:19:51"
"xSPECTAR USD","0.010995","-0.000044","-0.40%","0","6,559","0","2024-10-13 13:19:51"
"GigaChad USD","0.00000001","+0.00000000","+11.60%","0","282,754","0","2024-10-13 13:19:51"
"Elon's First Dog USD","0.00000003","-0.00000000","-8.13%","0","648","0","2024-10-13 13:19:51"
"ITSBLOC USD","0.000078","-0.000004","-4.89%","0","11,616","0","2024-10-13 13:19:51"
"KittyCake USD","0.00000157","-0.00000002","-1.25%","0","174,486","0","2024-10-13 13:19:51"
"Kitty Inu USD","0.00000067","0.00000000","0.00%","0","25","0","2024-10-13 13:19:51"
"Cope USD","0.00000227","+0.00000005","+2.27%","0","599","0","2024-10-13 13:19:51"
"Ishi USD","0.00000030","+0.00000001","+2.33%","0","905","0","2024-10-13 13:19:51"
"NOTAI USD","0.000086","-0.000005","-5.39%","0","155,064","0","2024-10-13 13:19:51"
"Aquari USD","0.000010","+0.000000","+4.67%","0","3,186","0","2024-10-13 13:19:51"
"WHEE (Ordinals) USD","0.003299","-0.000000","-0.01%","0","247","0","2024-10-13 13:19:51"
"Satozhi USD","0.017338","-0.000532","-2.98%","0","494","0","2024-10-13 13:19:51"
"TOKEN 2049 USD","0.013198","-0.000099","-0.74%","0","36","0","2024-10-13 13:19:51"
"BananaCoin USD","0.00000000","+0.00000000","+0.10%","0","2","0","2024-10-13 13:19:51"
"Baby Sora USD","0.00000000","-0.00000000","-8.24%","0","61","0","2024-10-13 13:19:51"
"America Dog USD","0.00000000","+0.00000000","+6.76%","0","203","0","2024-10-13 13:19:51"
"Monkey USD","0.00000000","-0.00000000","-1.04%","0","47,647","0","2024-10-13 13:19:51"
"Balance AI USD","1.7390","-0.0235","-1.33%","0","7,865","0","2024-10-13 13:19:51"
"Tomb Shares USD","19.70","-0.30","-1.49%","0","3,022","0","2024-10-13 13:19:51"
"Archway USD","0.037224","-0.000255","-0.68%","0","13,576","0","2024-10-13 13:19:51"
"Dogecoin USD","0.000200","+0.000016","+8.67%","0","1,944","0","2024-10-13 13:19:51"
"SafeMoneyUP USD","0.000044","0.000000","0.00%","0","0","0","2024-10-13 13:19:51"
"Ramestta USD","0.088538","-0.000059","-0.07%","0","1,019","0","2024-10-13 13:19:51"
"StarterCoin USD","0.000030","+0.000000","+0.09%","0","49","0","2024-10-13 13:19:51"
"Germany Rabbit Token USD","0.00000000","-0.00000000","-7.38%","0","491","0","2024-10-13 13:19:51"
"The Debt Box USD","1.4580","-0.0000","-0.00%","0","1","0","2024-10-13 13:19:51"
"BNB FLOKI USD","0.00000000","-0.00000000","-4.24%","0","14","0","2024-10-13 13:19:51"
"Datarius Credit USD","0.000035","+0.000000","+0.09%","0","89","0","2024-10-13 13:19:51"
"NFTmall USD","0.003413","-0.000027","-0.79%","0","0","0","2024-10-13 13:19:52"
"CRYPTOKKI USD","0.011096","-0.000001","-0.01%","0","644","0","2024-10-13 13:19:52"
"Ofero USD","0.001176","+0.000024","+2.06%","0","562","0","2024-10-13 13:19:52"
"Musk Metaverse USD","0.00000000","-0.00000000","-0.48%","0","0","0","2024-10-13 13:19:52"
"AstraDEX USD","0.00000003","0.00000000","0.00%","0","2","0","2024-10-13 13:19:52"
"MetaVPad USD","0.003119","-0.000073","-2.28%","0","2,096","0","2024-10-13 13:19:52"
"SPONGE USD","0.000024","-0.000000","-1.91%","0","3,586","0","2024-10-13 13:19:52"
"AngelBlock USD","0.005624","+0.000000","+0.01%","0","76,758","0","2024-10-13 13:19:52"
"Devour USD","0.000018","0.000000","0.00%","0","12","0","2024-10-13 13:19:52"
"Sunny Side up USD","0.001249","+0.000006","+0.50%","0","1","0","2024-10-13 13:19:52"
"Babble AI USD","0.001849","-0.000125","-6.32%","0","2,587","0","2024-10-13 13:19:52"
"Elixir deUSD USD","0.999922","-0.000114","-0.01%","0","1.065M","0","2024-10-13 13:19:52"
"TAP FANTASY USD","0.000940","+0.000003","+0.30%","0","7,483","0","2024-10-13 13:19:52"
"ArcadeNetwork USD","0.000082","0.000000","0.00%","0","0","0","2024-10-13 13:19:52"
"NBA BSC USD","0.00000462","-0.00000004","-0.83%","0","9","0","2024-10-13 13:19:52"
"Chinese Andy USD","0.00000000","+0.00000000","+6.80%","0","7,098","0","2024-10-13 13:19:52"
"mouse in a cats world USD","0.00000076","+0.00000005","+6.60%","0","82","0","2024-10-13 13:19:52"
"Aigang USD","0.000020","-0.000005","-21.05%","0","179","0","2024-10-13 13:19:52"
"MikeAI USD","0.00000314","-0.00000001","-0.22%","0","435","0","2024-10-13 13:19:52"
"Burrow USD","0.007704","-0.000015","-0.20%","0","783","0","2024-10-13 13:19:52"
"Charli3 USD","0.050593","+0.000097","+0.19%","0","524","0","2024-10-13 13:19:52"
"Baby Dragon USD","0.00000000","+0.00000000","+0.42%","0","3","0","2024-10-13 13:19:53"
"Charged Particles USD","0.003157","+0.000050","+1.60%","0","34,752","0","2024-10-13 13:19:53"
"ONE Token USD","0.139407","+0.001168","+0.84%","0","50","0","2024-10-13 13:19:53"
"Lets Go Brandon USD","0.00000001","+0.00000000","+0.89%","0","71","0","2024-10-13 13:19:53"
"On-Chain Dynamics USD","0.000667","+0.000009","+1.30%","0","113","0","2024-10-13 13:19:53"
"WUFFI USD","0.00000048","+0.00000001","+2.28%","0","43,156","0","2024-10-13 13:19:53"
"SWIM - Spread Wisdom USD","0.00000091","-0.00000000","-0.01%","0","35","0","2024-10-13 13:19:53"
"CoinNavigator USD","3.7609","-0.0244","-0.65%","0","84,455","0","2024-10-13 13:19:53"
"PEPi USD","35.93","-5.67","-13.63%","0","17,067","0","2024-10-13 13:19:53"
"Picasso USD","0.000574","-0.000106","-15.53%","0","107,489","0","2024-10-13 13:19:53"
"T-mac DAO USD","10.92","-0.01","-0.10%","0","2,354","0","2024-10-13 13:19:53"
"BOMBOCLAT USD","0.00000752","-0.00000082","-9.79%","0","227","0","2024-10-13 13:19:53"
"TridentDAO USD","0.006410","+0.001934","+43.20%","0","136,351","0","2024-10-13 13:19:53"
"SASHA CAT USD","0.00000000","-0.00000000","-24.10%","0","12,055","0","2024-10-13 13:19:53"
"Zeus USD","0.044508","+0.001460","+3.39%","0","2,238","0","2024-10-13 13:19:53"
"Lifeform Token USD","0.016183","+0.000119","+0.74%","0","251,188","0","2024-10-13 13:19:53"
"Graviton USD","0.001260","+0.000061","+5.07%","0","2,014","0","2024-10-13 13:19:53"
"Gas DAO USD","0.00000048","+0.00000000","+0.43%","0","4,282","0","2024-10-13 13:19:53"
"Monkey Peepo USD","0.000027","+0.000000","+0.95%","0","336","0","2024-10-13 13:19:53"
"Ocean Protocol USD","0.618882","-0.004335","-0.70%","0","431,130","0","2024-10-13 13:19:53"
"Kingaru USD","0.012094","-0.000106","-0.87%","0","80,860","0","2024-10-13 13:19:53"
"SupremeX USD","0.000627","-0.000004","-0.60%","0","0","0","2024-10-13 13:19:53"
"pBTC35A USD","0.990827","+0.021136","+2.18%","0","13","0","2024-10-13 13:19:53"
"Kermit USD","0.000231","+0.000019","+8.95%","0","259,515","0","2024-10-13 13:19:53"
"Tanox USD","0.000018","+0.000000","+0.41%","0","231","0","2024-10-13 13:19:53"
"Nerva USD","0.047844","-0.000483","-1.00%","0","1,916","0","2024-10-13 13:19:53"
"ChainCade USD","0.00000000","-0.00000000","-0.70%","0","73","0","2024-10-13 13:19:53"
"Fantom USD USD","0.680490","+0.051028","+8.11%","0","3","0","2024-10-13 13:19:53"
"Icosa USD","0.059412","+0.000794","+1.35%","0","379","0","2024-10-13 13:19:53"
"SolSpend USD","0.005471","-0.000019","-0.34%","0","64","0","2024-10-13 13:19:53"
"MMFinance (Arbitrum) USD","0.001421","+0.000000","+0.03%","0","10","0","2024-10-13 13:19:54"
"ZkLock USD","0.001762","+0.000001","+0.07%","0","423","0","2024-10-13 13:19:54"
"BNBDOG USD","0.00000001","-0.00000000","-4.02%","0","59","0","2024-10-13 13:19:54"
"Paypex USD","0.000025","+0.000000","+0.34%","0","104","0","2024-10-13 13:19:54"
"CircleSwap USD","0.070149","+0.008683","+14.13%","0","759","0","2024-10-13 13:19:54"
"WINBIT CASINO USD","0.000596","-0.000004","-0.73%","0","9","0","2024-10-13 13:19:54"
"Houdini Swap USD","0.316154","+0.006203","+2.00%","0","136,054","0","2024-10-13 13:19:54"
"WOLVERINU (new) USD","0.00000000","+0.00000000","+2.39%","0","913","0","2024-10-13 13:19:54"
"Stader sFTMX USD","0.796437","+0.000846","+0.11%","0","715,919","0","2024-10-13 13:19:54"
"VitaDAO USD","1.1478","+0.0294","+2.63%","0","3,749","0","2024-10-13 13:19:54"
"Not Financial Advice USD","0.039087","-0.000967","-2.42%","0","6,573","0","2024-10-13 13:19:54"
"Muzki USD","0.000497","-0.000104","-17.32%","0","46,994","0","2024-10-13 13:19:54"
"ABC PoS Pool USD","1.0018","-0.0239","-2.33%","0","561","0","2024-10-13 13:19:54"
"Spacemesh USD","0.337986","-0.012365","-3.53%","0","2.001M","0","2024-10-13 13:19:54"
"Albino USD","0.099959","-0.012010","-10.73%","0","0","0","2024-10-13 13:19:54"
"Piggy Finance USD","0.006198","-0.000001","-0.01%","0","17","0","2024-10-13 13:19:54"
"Any Inu USD","0.000013","+0.000001","+4.58%","0","361,217","0","2024-10-13 13:19:54"
"Stella Fantasy USD","0.001057","-0.000003","-0.25%","0","371","0","2024-10-13 13:19:54"
"Dollar on Chain USD","0.996147","+0.000591","+0.06%","0","8,382","0","2024-10-13 13:19:54"
"Hedron USD","0.00000011","-0.00000000","-2.85%","0","138","0","2024-10-13 13:19:54"
"Ape and Pepe USD","0.00000249","+0.00000007","+3.00%","0","6.33M","0","2024-10-13 13:20:08"
"BaseX USD","0.031044","-0.000104","-0.33%","0","6,658","0","2024-10-13 13:20:08"
"Simpson Family USD","0.00000000","+0.00000000","+1.50%","0","27","0","2024-10-13 13:20:08"
"EVEAI USD","0.012981","+0.000398","+3.16%","0","2,021","0","2024-10-13 13:20:08"
"Mobius Money USD","0.000034","-0.000001","-2.37%","0","0","0","2024-10-13 13:20:08"
"chikn feed USD","0.000246","-0.000009","-3.38%","0","1,079","0","2024-10-13 13:20:08"
"Wif - SecondChance USD","0.000494","-0.000002","-0.32%","0","14,144","0","2024-10-13 13:20:08"
"Mogul Trumps Code Name USD","0.00000637","+0.00000009","+1.45%","0","27","0","2024-10-13 13:20:08"
"MILO Project USD","0.012599","0.000000","0.00%","0","264","0","2024-10-13 13:20:08"
"Idle Ninja Online USD","0.000101","0.000000","0.00%","0","50","0","2024-10-13 13:20:08"
"Bearium USD","0.002616","+0.000001","+0.02%","0","1,812","0","2024-10-13 13:20:08"
"sacré bleu USD","0.000010","+0.000000","+0.58%","0","5","0","2024-10-13 13:20:08"
"Matrix Labs USD","0.000789","+0.000013","+1.66%","0","3","0","2024-10-13 13:20:08"
"Biaoqing USD","0.000421","-0.000115","-21.41%","0","20,650","0","2024-10-13 13:20:08"
"Sonne Finance USD","0.007105","+0.000264","+3.87%","0","5,757","0","2024-10-13 13:20:08"
"Thetanuts Finance USD","0.002425","+0.000204","+9.19%","0","20,421","0","2024-10-13 13:20:08"
"Whirl USD","0.102700","0.000000","0.00%","0","256","0","2024-10-13 13:20:08"
"Primas USD","0.001352","-0.000024","-1.78%","0","0","0","2024-10-13 13:20:08"
"PairedWorld USD","0.002972","-0.001012","-25.40%","0","44","0","2024-10-13 13:20:08"
"Blockwise USD","0.048150","-0.000006","-0.01%","0","32","0","2024-10-13 13:20:08"
"xRealm.ai USD","8.7929","-0.0012","-0.01%","0","209","0","2024-10-13 13:20:08"
"IMO USD","0.164797","+0.004012","+2.50%","0","5,021","0","2024-10-13 13:20:08"
"Celo Brazilian Real USD","0.176778","-0.000869","-0.49%","0","745,861","0","2024-10-13 13:20:08"
"Ethos Reserve Note USD","1.0010","+0.0011","+0.11%","0","951","0","2024-10-13 13:20:08"
"Lanify USD","0.001866","-0.000023","-1.23%","0","15","0","2024-10-13 13:20:08"
"XOX Labs USD","0.004317","+0.000139","+3.34%","0","124","0","2024-10-13 13:20:08"
"RSG TOKEN USD","0.010236","-0.000001","-0.01%","0","34","0","2024-10-13 13:20:08"
"Feeder.finance USD","0.000283","+0.000003","+1.15%","0","4","0","2024-10-13 13:20:09"
"BunnyPark USD","0.001797","-0.000020","-1.08%","0","127","0","2024-10-13 13:20:09"
"Crypto Villains USD","0.000397","-0.000001","-0.27%","0","13,931","0","2024-10-13 13:20:09"
"CatGPT USD","0.000199","-0.000002","-0.91%","0","341,285","0","2024-10-13 13:20:09"
"HeyFlork USD","0.000153","-0.000030","-16.37%","0","5,089","0","2024-10-13 13:20:09"
"Kira the Injective Cat USD","0.000046","-0.000001","-2.39%","0","2,341","0","2024-10-13 13:20:09"
"21X USD","0.000169","-0.000001","-0.37%","0","120,957","0","2024-10-13 13:20:09"
"BitcoinBR USD","0.000731","+0.000095","+14.95%","0","0","0","2024-10-13 13:20:09"
"Quantum USD","0.00000000","-0.00000000","-0.01%","0","2","0","2024-10-13 13:20:09"
"Joule USD","0.037904","-0.002492","-6.17%","0","9,525","0","2024-10-13 13:20:09"
"TRESTLE USD","0.000997","+0.000017","+1.76%","0","3,100","0","2024-10-13 13:20:09"
"Slash Vision Labs USD","0.008386","-0.000045","-0.53%","0","1.176M","0","2024-10-13 13:20:09"
"TieDan USD","0.000052","-0.000011","-17.76%","0","32","0","2024-10-13 13:20:09"
"Knekted USD","0.000025","+0.000000","+0.34%","0","24","0","2024-10-13 13:20:09"
"Endpoint CeX Fan Token USD","0.059894","0.000000","0.00%","0","29","0","2024-10-13 13:20:09"
"Pepe Maga USD","0.00000092","-0.00000007","-7.16%","0","17,459","0","2024-10-13 13:20:09"
"Troge USD","0.000049","-0.000000","-0.25%","0","1","0","2024-10-13 13:20:09"
"aUSDT USD","0.999920","0.000000","+0.00%","0","18,298","0","2024-10-13 13:20:09"
"Vira-lata Finance USD","0.00000000","+0.00000000","+4.19%","0","0","0","2024-10-13 13:20:09"
"MAGA USD","0.000067","+0.000002","+2.71%","0","3,208","0","2024-10-13 13:20:09"
"Healthmedi USD","0.001381","-0.000000","-0.01%","0","9","0","2024-10-13 13:20:09"
"Going To The Moon USD","0.000089","-0.000000","-0.53%","0","10,622","0","2024-10-13 13:20:09"
"POPO USD","0.00000000","0.00000000","0.00%","0","314","0","2024-10-13 13:20:09"
"Binancedog USD","0.000758","-0.000104","-12.05%","0","1.17M","0","2024-10-13 13:20:09"
"Rabi USD","0.403296","-0.001681","-0.42%","0","256,580","0","2024-10-13 13:20:09"
"Spectra Chain USD","0.000362","-0.000013","-3.54%","0","3,472","0","2024-10-13 13:20:09"
"ClubCoin USD","0.003466","-0.000959","-21.67%","0","19","0","2024-10-13 13:20:09"
"NEXTYPE USD","0.000336","-0.000000","-0.09%","0","5","0","2024-10-13 13:20:09"
"Jerry Inu USD","0.00000000","-0.00000000","-0.41%","0","6","0","2024-10-13 13:20:09"
"Venture Coin USD","0.000975","-0.000004","-0.42%","0","0","0","2024-10-13 13:20:10"
"BIBI USD","0.00000000","+0.00000000","+6.13%","0","30,803","0","2024-10-13 13:20:10"
"ParallelChain USD","0.016941","-0.000058","-0.34%","0","18,703","0","2024-10-13 13:20:10"
"Kermit (SOL) USD","0.000012","-0.000002","-15.36%","0","1,416","0","2024-10-13 13:20:10"
"Secretum USD","0.000770","+0.000043","+5.96%","0","26,811","0","2024-10-13 13:20:10"
"Restake Finance USD","0.012439","-0.000067","-0.53%","0","937","0","2024-10-13 13:20:10"
"Invitoken USD","0.405844","-0.000044","-0.01%","0","16,058","0","2024-10-13 13:20:10"
"Yearn Classic Finance USD","0.022152","+0.003477","+18.62%","0","11","0","2024-10-13 13:20:10"
"Ainu Token USD","0.00000000","+0.00000000","+0.80%","0","112","0","2024-10-13 13:20:10"
"Peapods Finance USD","4.0858","+0.2537","+6.62%","0","540,144","0","2024-10-13 13:20:10"
"Wigl USD","0.109745","+0.000480","+0.44%","0","1,181","0","2024-10-13 13:20:10"
"bullish USD","0.000046","+0.000001","+3.39%","0","2,042","0","2024-10-13 13:20:10"
"LiquidDriver USD","0.328518","+0.019489","+6.31%","0","15,872","0","2024-10-13 13:20:10"
"AI Dragon USD","0.00000060","+0.00000009","+17.34%","0","5,503","0","2024-10-13 13:20:10"
"Thomas USD","0.00000364","-0.00000061","-14.34%","0","2,532","0","2024-10-13 13:20:10"
"Mantle Inu USD","0.000382","0.000000","0.00%","0","0","0","2024-10-13 13:20:10"
"Moonwell Apollo USD","0.014965","-0.000116","-0.77%","0","6,334","0","2024-10-13 13:20:10"
"Solbank USD","91.84","+4.34","+4.97%","0","127,509","0","2024-10-13 13:20:10"
"HXRO USD","0.005535","-0.000277","-4.76%","0","1,411","0","2024-10-13 13:20:10"
"KingdomX USD","0.001292","+0.000001","+0.06%","0","148,333","0","2024-10-13 13:20:10"
"HARRIS DOGS USD","0.001220","+0.000839","+220.38%","0","482,971","0","2024-10-13 13:20:10"
"HOLD USD","0.004559","-0.000157","-3.32%","0","3,922","0","2024-10-13 13:20:10"
"Leandro Lopes USD","0.025880","-0.001052","-3.91%","0","22,402","0","2024-10-13 13:20:10"
"DeBox USD","0.046379","-0.000831","-1.76%","0","1.099M","0","2024-10-13 13:20:10"
"King Trump USD","0.00000000","0.00000000","-0.00%","0","277","0","2024-10-13 13:20:10"
"Hypersign Identity USD","0.013197","-0.000314","-2.32%","0","1,712","0","2024-10-13 13:20:10"
"Polimec USD","0.168384","-0.000481","-0.28%","0","2,713","0","2024-10-13 13:20:10"
"Xuez USD","0.000911","-0.000003","-0.29%","0","18","0","2024-10-13 13:20:10"
"Ajuna Network USD","0.019575","-0.000222","-1.12%","0","88,446","0","2024-10-13 13:20:11"
"Spot USD","1.3198","-0.0001","-0.01%","0","29","0","2024-10-13 13:20:11"
"Black Phoenix USD","0.665188","-0.196851","-22.84%","0","3.401M","0","2024-10-13 13:20:11"
"OpenSocial USD","0.000154","+0.000018","+13.09%","0","2,011","0","2024-10-13 13:20:11"
"Planet USD","12.41","-0.10","-0.77%","0","1","0","2024-10-13 13:20:11"
"SmartFi USD","0.029988","-0.000004","-0.01%","0","3","0","2024-10-13 13:20:11"
"NFTBomb USD","0.000040","+0.000001","+1.35%","0","492","0","2024-10-13 13:20:11"
"Talken USD","0.033957","-0.000620","-1.79%","0","16,183","0","2024-10-13 13:20:11"
"Mumu the Bull (ERC) USD","0.00000000","+0.00000000","+0.45%","0","5","0","2024-10-13 13:20:11"
"CRI3X USD","0.000220","-0.000015","-6.55%","0","913","0","2024-10-13 13:20:11"
"1Sol USD","0.006363","+0.000065","+1.03%","0","43,493","0","2024-10-13 13:20:11"
"dogwifceo USD","0.00000012","-0.00000006","-31.73%","0","2,135","0","2024-10-13 13:20:11"
"Mickey Meme USD","0.00000000","+0.00000000","+0.00%","0","2,456","0","2024-10-13 13:20:11"
"EXRNchain USD","0.000025","+0.000000","+0.34%","0","12","0","2024-10-13 13:20:11"
"LEMONCHAIN USD","0.000482","-0.000004","-0.72%","0","1,851","0","2024-10-13 13:20:11"
"Autonomous Secure Dollar USD","0.828295","+0.147082","+21.59%","0","41,351","0","2024-10-13 13:20:11"
"Baby Slerf USD","0.00000075","0.00000000","0.00%","0","0","0","2024-10-13 13:20:11"
"Jack Token USD","15.15","-0.09","-0.61%","0","124,924","0","2024-10-13 13:20:11"
"ZEDXION USD","0.265604","-0.001166","-0.44%","0","7,880","0","2024-10-13 13:20:11"
"Genius Yield USD","0.018276","+0.001196","+7.00%","0","884","0","2024-10-13 13:20:11"
"Finger Blast USD","0.00000008","+0.00000000","+0.67%","0","1,390","0","2024-10-13 13:20:11"
"ICPSwap Token USD","0.019456","-0.000724","-3.59%","0","30,049","0","2024-10-13 13:20:11"
"Miu USD","0.000014","+0.000000","+0.27%","0","67","0","2024-10-13 13:20:11"
"INUGAMI USD","0.00000011","+0.00000001","+5.06%","0","53","0","2024-10-13 13:20:11"
